  layer    shift x    shift y
-------  ---------  ---------
      1   -3.52216    2.72417
      2   -3.62642    2.71253
      3   -3.70279    2.73514
      4   -3.68178    2.69013
      5   -3.53902    2.73582
      6   -3.60895    2.7601
      7   -3.77711    2.70275
      8   -3.78309    2.70013
      9   -3.74654    2.62871
     10   -3.79885    2.64894
     11   -3.83036    2.61498
     12   -3.85046    2.61856
     13   -3.80845    2.6431
     14   -3.88973    2.57074
     15   -3.83787    2.64904
     16   -3.93072    2.62127
     17   -3.84896    2.591
     18   -3.93918    2.60614
     19   -3.918      2.53426
     20   -3.96107    2.5747
     21   -3.99221    2.60619
     22   -4.03038    2.62723
     23   -3.97634    2.5293
     24   -3.98103    2.59362
     25   -3.99045    2.58746
     26   -4.02747    2.57666
     27   -4.00032    2.48522
     28   -3.95834    2.49272
     29   -5.00386    1.50869
     30   -4.87416    1.737
     31   -4.80572    1.74367
     32   -4.92817    1.63921
     33   -4.77276    1.65112
     34   -4.79049    1.65412
     35   -5.60349    1.62401
     36   -5.32109    1.62644
     37   -5.32613    1.5282
     38   -5.37364    1.54761
     39   -5.54343    1.39646
     40   -5.60653    1.29371
